,Latitude,Longitude,pH,Copper (mg/Kg),Molybdenum (mg/Kg),Precipitation (mm),Max temperature (℃ ),Min temperature (℃ ),Wind speed (m/s),Barren (%),Forest (%),Pasture (%),Number of Listeria isolates obtained,log of Sulfur (mg/Kg),log of Open water (%),log of Shrubland (%),log of Moisture,log of Total carbon (%),log of index,log of Total nitrogen (%),log of Sodium (mg/Kg),log of Grassland (%),log of Iron (mg/Kg),log of Manganese (mg/Kg),log of Organic matter (%),log of Calcium (mg/Kg),log of Elevation (m),log of Cropland (%),log of Developed open space (> 20% Impervious Cover) (%),log of Wetland (%),log of Developed open space (< 20% Impervious Cover) (%),log of Potassium (mg/Kg),log of Magnesium (mg/Kg),log of Aluminum (mg/Kg),log of Phosphorus (mg/Kg),double log of Zinc (mg/Kg),binary_listeria_presense,scaled_cluster_kmeans,cluster_kmeans
0,35.474,-83.8701,4.639,0.4037,0.2301,173.575,7.7397,-3.0623,3.6666,0.0275,94.9182,0.0,6,3.0285769335830723,0.9680479186469931,-1.279055610450292,-0.8486320834003402,1.568053259651369,-inf,-1.5427142803911922,3.7646198431499167,-2.1430205233227073,4.378855361498462,2.7386246686108935,1.9946050705940719,4.298726544151244,6.189884985366686,-1.8773173575897015,-1.7843867148986419,-2.8524981054680834,0.49907687673144263,4.788948181659853,3.9889118217339017,4.94719483653282,1.961431917854292,-0.6465679141610327,1,1,1
1,35.485,-83.8675,4.677,0.3764,0.2424,173.575,7.7397,-3.0623,3.6666,0.0279,95.2959,0.0,4,3.0023950280273546,0.9206412546114131,-1.1695713776086036,-0.8577860025015921,1.614843277092651,0.0,-1.5023788401406926,3.7191370412746334,-2.248096907709976,4.42462505042323,2.7066959511862665,1.9588686805768458,4.9559657803731785,6.371150202228659,-2.175071772695086,-2.016654553581071,-2.8524981054680834,0.36804011501742856,4.284561259102695,3.7404657055853696,4.760964656907344,2.1127675110731454,-1.0248158346038494,1,1,1
2,35.4815,-83.8587,4.102,0.5256,0.2979,173.575,7.7397,-3.0623,3.6666,0.0317,95.1514,0.0,6,3.2241299974966706,0.9547804086546788,-1.2046396933136396,-0.8153148145341529,2.0133685104503134,0.6931471805599453,-1.5150372370126162,4.115053641311792,-2.2321266293454842,5.007698318736665,3.590913751527955,2.450746443974566,5.030632020201102,6.659037476548497,-1.9554555618988447,-2.0054478617715095,-2.8524981054680834,0.3906221612383899,4.842330245485681,4.599653999769059,4.8412007420037275,2.3761979425948234,-0.1731043930776561,1,1,1
3,35.4844,-83.8381,5.396,0.4162,0.2625,173.575,7.7397,-3.0623,3.6666,0.0548,95.0007,0.0,8,2.7965859711696517,1.0737388263920862,-1.1828638411157009,0.08093461749599924,2.0149563524534266,1.0986122886681098,-0.7381445464906811,4.008950059205152,-2.3892328997197176,3.189669440520175,3.740180748469487,2.4056108853051517,7.0012510865354205,6.561398349353546,-2.020418201230375,-2.006191079940243,-2.8524981054680834,0.2586651233812883,5.392942311632667,5.44771017420252,4.924238273805442,1.9674200016860384,0.008071234919720826,1,1,1
4,35.4727,-83.8513,4.486,0.4159,0.2333,173.575,7.7397,-3.0623,3.6666,0.0462,94.5999,0.0,6,3.2027423778894044,1.0785116169611069,-1.2880793136229356,-0.7605698568773795,2.184420734643404,1.3862943611198906,-0.9988574555311174,3.776647627993878,-2.1252760780236355,4.509969000243698,3.864889468294088,2.3809525520680586,5.0925156967888565,6.37528032381109,-1.7550418862928923,-1.7510014767558872,-2.8524981054680834,0.478777525797097,4.529825757429413,4.198769140026706,4.938026607708133,2.048079865236822,-0.06923377535876499,1,1,1
5,39.0776,-76.6061,4.337,0.0,0.0,185.725,6.2623,-2.5852,3.7525,0.1929,38.8056,1.2831,0,3.000620307626767,2.284981047045685,-0.5954761533864992,-1.1983221328171216,1.5848992879869461,1.6094379124341003,-1.3321850354728586,3.4434423632559015,-0.5711065546509208,3.6939441070796715,0.8355144218468673,1.8051362662696937,5.639088919279221,1.5686159179138452,0.8004757583124699,3.1824732171231442,1.4236864803369533,2.9064310040332577,4.07787806385426,4.226467254761073,4.03692905651334,1.861176695108388,-0.044905108943633296,0,1,4
6,39.0813,-76.6175,5.396,0.0,0.0,185.725,6.2623,-2.5852,3.7525,0.2081,37.4475,1.4299,0,2.1721574501795775,1.9147290315717385,-0.6045870035804651,-1.9344757714296503,-1.5068813241090084,1.791759469228055,-2.014403145500614,4.373961700343154,-0.4757802820231901,2.9563363450513966,1.1082325320451003,-0.6610672870965336,4.102744186400432,-1.8325814637483102,0.9334231306144559,3.2706747913820484,1.757599263414621,2.9064091355937887,2.2804519521595785,3.6941803793509864,2.684071666830553,0.11431034617741084,-0.2888799994073298,0,5,4
7,39.0753,-76.6168,3.923,0.0,0.0,185.725,6.2623,-2.5852,3.7525,0.2081,41.1661,1.3905,0,2.502099665858487,1.879358173707123,-0.4571268914320562,-1.5100451685560654,0.9722550997915874,1.9459101490553132,-0.8367866307615561,3.0594485817671373,-0.48272419365511593,4.773882049622212,0.8231661618836801,0.9983130173515444,3.9547146111357083,3.315276319154516,0.9697556665431056,3.1817843632491125,1.6217616621229323,2.8705487970599264,2.6445777781466364,2.62761352694518,3.714128009700334,1.0582762871452356,,0,1,4
8,39.054,-76.6437,5.306,0.0984,0.0473,185.725,6.2623,-2.5852,3.7525,0.4292,42.9303,2.6218,4,2.7773523580888035,1.312405595707846,-0.13227503930981893,-1.1976594422693438,1.2944805618472364,2.0794415416798357,-1.3854946809493265,3.89920318151484,-0.34037986145223,2.222740698988387,3.78563177535042,1.6839329525245053,7.159525547796403,3.498324092392878,1.3991859069111212,3.067182789224587,1.8789000045430557,2.811599076730769,5.137357221514255,5.4706752840669335,4.440023100028319,1.944623607529848,0.07529806553842394,1,1,4
9,39.0546,-76.6458,4.775,0.1468,0.0572,185.725,6.2623,-2.5852,3.7525,0.4453,42.0995,2.6161,6,3.0492114272095545,1.2803781355283412,-0.15782408519356722,-1.011975982008563,1.2602775205364036,2.1972245773362196,-1.3182619507280637,3.5792236156397528,-0.31416294970137826,3.5897384460477832,3.2955701637757846,1.6259213116924542,6.330427607621591,3.586292865338835,1.4678052212991473,3.0769020381678702,1.8728631523295964,2.840188957792641,5.216572460957289,5.584395904024535,5.459875259397991,2.389441457969934,0.40348341432582435,1,1,4
